School Level,Gender,Ethnic group,Ethnic group,ID Province,ID school,Province,Class,Class_Cate,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q2i_1,Q2i_2,Q2ii_3,Q2ii_4,Q2ii_5,Q2ii_6,Q2ii_7,Q2ii_8,Q2iii_9,Q2iii_10,Q2iii_11,Q2iv_12,Q2iv_13,Q2iv_14,Q2iv_15,Q2iv_16,Q2iv_17,Q2iv_18,Q2iv_19,Q2iv_20,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10
1,2,1,Kinh,4,4.3,C?n Th?,5,1,3,3,2,2,2,2,2,2,3,3,2,1,4,3,4,3,4,4,4,3,2,2,3,3,3,2,3,4,4,3,4,4,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
1,2,1,Kinh,4,4.3,C?n Th?,5,1,3,3,2,3,2,2,2,3,3,3,2,3,4,2,4,1,4,4,4,3,3,2,2,4,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,4,3,4,3,2,3,2,2,3,3,2,1,2,3,4,4,4,3,3,2,3,3,3,3,4,2,4,4,4,3,3,4,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,3,2,4,2,1,2,1,2,3,3,1,3,4,3,4,3,4,4,4,3,4,3,3,4,4,3,3,4,4,3,3,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,4,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4,4,3,4,2,3,4,3,4,4,3,3,4,4,3,3,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,4,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4,4,3,4,2,3,4,3,4,4,3,3,4,4,3,3,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
1,1,1,Kinh,4,4.3,C?n Th?,5,1,4,3,4,2,2,3,4,4,4,4,3,3,3,4,4,4,4,3,4,3,3,4,3,4,4,4,3,3,4,4,4,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,Kinh,4,4.3,C?n Th?,5,1,4,3,2,2,3,2,2,4,4,4,2,4,4,4,4,4,3,2,4,4,4,3,2,4,4,4,3,4,4,3,4,3,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,4,3,3,3,2,4,1,2,4,4,2,3,4,3,4,4,4,3,3,4,4,3,4,4,4,3,2,3,4,2,4,4,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,3,3,2,3,2,3,2,3,3,4,2,3,4,3,4,3,4,3,3,2,3,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,4,3,4,3,3,2,2,3,4,2,3,3,2,4,4,4,3,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
1,1,1,Kinh,4,4.3,C?n Th?,5,1,4,3,3,2,2,2,2,3,2,3,2,2,4,3,1,1,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
1,1,1,Kinh,4,4.3,C?n Th?,5,1,4,3,4,1,2,3,2,1,4,4,1,4,4,2,4,1,1,4,4,4,3,2,2,4,4,4,3,4,4,4,4,4,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,2,3,4,3,1,2,3,2,1,3,2,1,3,4,2,3,4,3,3,4,4,4,3,3,4,3,2,4,4,3,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
1,1,1,Kinh,4,4.3,C?n Th?,5,1,4,2,3,2,2,3,1,3,2,4,2,3,4,4,4,4,3,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,4,3,4,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,3,3,4,3,3,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,2,2,1,2,2,2,2,2,2,3,2,1,2,3,2,1,3,3,2,3,3,1,1,2,1,2,2,3,4,4,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0
1,2,1,Kinh,4,4.3,C?n Th?,5,1,2,2,1,2,2,2,1,1,2,3,2,1,2,3,3,4,4,3,2,2,3,1,1,2,1,1,2,3,4,4,3,4,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0
1,2,1,Kinh,4,4.3,C?n Th?,5,1,3,3,3,2,2,3,2,3,4,4,3,2,3,3,2,1,4,4,4,3,3,2,3,3,2,4,3,4,4,3,4,4,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1
1,1,1,Kinh,4,4.3,C?n Th?,5,1,3,3,2,3,3,4,3,4,3,4,3,3,4,2,4,3,4,4,3,3,2,2,3,3,2,3,2,4,4,4,4,4,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
1,2,1,Kinh,4,4.3,C?n Th?,5,1,3,3,3,2,1,2,2,4,4,3,3,3,4,2,4,4,4,3,4,3,4,1,1,3,3,4,4,4,3,4,4,4,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1
1,2,1,Kinh,4,4.3,C?n Th?,5,1,4,3,3,2,1,3,4,2,2,4,3,2,3,3,4,4,4,3,4,4,3,4,2,4,3,3,4,4,4,2,4,4,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0
1,2,1,Kinh,4,4.3,C?n Th?,5,1,3,3,2,3,2,4,1,1,2,3,2,1,2,1,3,2,1,1,1,3,1,4,2,3,4,3,2,2,4,4,4,4,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,1,Kinh,4,4.3,C?n Th?,5,1,2,4,2,3,1,4,3,4,2,3,2,2,4,2,3,4,4,3,4,2,2,3,2,3,4,4,3,4,4,3,4,4,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,2,2,2,3,3,2,3,2,2,2,3,4,2,3,2,2,2,3,3,2,2,2,2,2,3,2,3,3,3,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,4,4,3,3,3,3,4,4,3,3,3,3,2,3,2,4,2,2,3,4,4,4,3,1,2,4,3,3,2,4,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,3,3,2,2,2,2,3,3,3,3,2,3,2,3,2,4,3,4,3,4,3,2,2,2,2,2,4,4,3,3,3,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,3,4,3,3,4,3,3,3,4,3,3,3,2,3,2,3,3,2,3,3,2,2,4,2,3,3,2,3,3,3,2,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,2,4,3,4,3,2,4,3,2,2,3,4,2,4,3,4,4,4,3,3,4,4,4,2,3,3,4,4,3,4,4,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,4,3,3,4,3,4,3,3,3,4,3,4,3,2,4,4,2,3,4,4,4,3,2,4,3,4,3,4,4,4,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,3,4,4,3,3,2,3,4,4,2,3,2,2,1,1,4,2,2,3,4,4,3,2,2,3,3,4,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,4,4,3,3,3,3,4,4,3,3,3,4,4,2,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,2,2,2,2,3,2,4,4,4,4,3,4,2,4,3,4,2,2,4,4,4,3,4,3,4,2,3,3,2,3,3,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,3,4,3,3,4,3,4,4,4,2,2,3,4,3,3,4,3,3,2,4,4,3,3,3,4,2,2,4,3,3,3,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,3,2,2,3,4,3,3,2,3,3,4,4,2,4,2,3,4,4,4,4,4,3,4,3,3,3,3,4,4,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,4,4,3,4,4,4,3,3,4,3,3,3,3,4,4,4,3,3,2,4,4,3,4,3,3,2,4,4,3,4,4,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,4,2,4,3,4,3,3,3,2,4,3,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,4,3,3,3,4,4,4,3,4,3,4,4,3,2,2,4,3,3,4,4,4,3,4,3,4,4,4,3,4,4,4,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,4,3,2,3,3,4,4,3,3,3,3,3,4,4,4,3,4,3,4,4,3,3,3,2,2,4,4,4,4,4,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,4,3,3,3,4,3,4,2,3,3,4,4,4,4,3,3,2,4,4,2,3,4,4,2,2,2,3,3,3,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,4,4,4,3,3,3,2,3,3,4,3,3,4,2,3,2,4,3,3,4,4,4,4,4,4,4,3,3,3,4,3,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,2,3,3,4,3,3,3,3,2,3,3,4,4,4,3,3,4,4,4,3,3,4,3,2,3,4,2,3,3,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,3,2,2,2,2,3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,2,2,3,3,4,2,3,3,3,3,2,2,1,4,2,3,3,4,4,3,4,4,3,3,4,4,4,4,4,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,2,3,2,3,3,3,3,3,3,2,2,3,3,4,4,3,2,4,4,3,3,4,4,3,3,3,3,4,4,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,3,4,3,3,4,3,4,3,3,2,3,3,3,4,4,4,3,3,2,4,4,3,3,4,3,2,2,3,2,4,4,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,4,3,3,3,3,3,4,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,2,4,2,4,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,4,4,3,3,3,3,3,4,3,4,4,3,3,4,4,1,4,2,3,3,4,3,4,3,4,4,3,4,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,4,3,4,3,3,4,4,4,2,3,3,2,4,4,4,3,4,4,3,3,4,4,3,3,4,3,3,4,3,4,4,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,4,4,3,2,3,2,3,3,3,4,2,3,4,4,4,3,4,2,4,4,4,4,3,3,4,3,3,4,2,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,3,3,3,3,4,3,3,2,3,3,2,3,3,3,4,3,4,4,4,2,3,2,3,2,3,4,3,3,4,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,2,4,4,3,4,4,4,3,3,3,3,2,4,2,1,3,2,4,2,4,4,2,3,2,2,2,1,2,3,3,4,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1
2,1,2,Hoa,4,4.4,C?n Th?,9,2,4,4,3,2,3,3,2,4,3,4,2,4,4,4,3,2,4,3,3,4,4,4,3,3,2,4,4,3,4,2,4,4,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,3,3,4,3,2,3,4,4,3,2,3,4,3,3,3,3,4,3,3,3,4,4,4,3,2,4,2,3,4,2,4,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,3,4,3,3,4,3,4,3,3,2,3,1,2,2,3,2,3,3,3,2,3,3,4,2,2,3,2,2,3,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,4,3,2,2,3,1,1,3,4,2,2,2,2,1,4,1,2,3,2,4,4,4,1,2,3,2,3,4,4,4,3,2,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,2,3,2,2,2,1,3,2,3,3,2,3,3,3,2,4,3,4,2,3,3,3,3,3,2,2,3,3,3,3,2,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,3,2,3,2,3,3,3,3,3,2,3,3,2,3,2,4,4,4,3,4,4,4,4,4,4,4,3,2,4,3,2,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,4,3,2,3,1,2,3,3,1,3,4,2,3,3,4,4,3,3,4,2,4,4,3,3,4,2,2,2,3,4,3,3,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,4,3,4,2,3,2,4,4,3,2,3,3,4,2,3,4,4,3,4,4,4,4,4,4,3,2,3,4,3,3,4,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,4,3,4,3,3,4,4,3,3,4,3,3,3,4,3,4,4,3,3,4,4,3,3,4,4,3,3,3,4,3,4,4,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,1,1,Kinh,4,4.4,C?n Th?,9,2,3,3,3,2,3,3,2,4,2,2,2,3,3,3,4,4,4,4,3,3,4,4,2,3,4,4,4,4,3,4,4,4,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.4,C?n Th?,9,2,3,3,2,2,2,2,1,2,1,2,1,2,3,3,3,2,4,4,4,4,4,4,3,4,4,3,2,4,4,3,4,4,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
2,1,2,Hoa,4,4.4,C?n Th?,9,2,4,3,3,3,4,3,4,2,4,2,2,3,4,4,4,4,3,4,3,2,3,4,3,4,4,4,3,3,4,4,4,4,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,2,2,2,2,1,3,2,2,1,1,1,3,2,1,3,2,2,3,3,4,1,3,1,3,3,4,4,3,4,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,3,3,4,2,2,3,4,4,3,4,3,2,3,3,2,2,4,4,4,3,4,2,2,2,3,2,2,4,4,4,4,4,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,2,3,2,3,3,4,3,3,3,2,3,3,3,3,4,4,3,4,4,2,3,3,2,2,2,3,2,4,3,4,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,4,3,4,3,3,4,3,4,3,4,4,4,2,4,4,1,4,4,3,3,4,4,3,4,2,3,4,4,4,3,4,4,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,2,2,2,3,4,2,4,2,3,4,2,4,2,4,2,3,3,3,4,1,2,2,2,4,3,4,3,4,3,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,4,4,3,3,3,4,3,3,3,4,3,3,3,2,4,2,4,2,3,4,4,4,4,4,2,3,4,4,4,4,4,3,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,2,2,3,2,3,2,4,2,3,2,3,4,2,4,4,3,2,2,4,2,4,3,3,2,3,3,2,3,3,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,3,3,4,3,2,2,2,4,2,2,2,3,3,3,4,2,3,3,3,4,4,2,2,3,3,3,3,3,4,2,3,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,2,2,2,2,2,2,2,3,1,2,2,2,2,3,3,2,2,2,3,2,2,2,3,3,2,2,3,2,2,3,3,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,2,2,3,3,3,2,4,2,3,3,2,4,2,3,3,4,2,4,3,2,2,3,3,2,3,3,3,4,4,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,2,3,3,3,3,3,3,3,2,2,3,3,4,3,3,4,3,4,4,4,4,2,4,3,3,3,4,4,4,4,4,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
2,2,2,Hoa,4,4.5,C?n Th?,9,2,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,4,3,4,4,4,4,4,4,4,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,4,4,3,3,3,4,3,3,3,4,3,3,3,4,3,2,4,3,4,4,4,4,2,4,3,3,4,4,3,3,4,4,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,2,3,3,2,3,2,3,2,2,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,4,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,2,2,3,2,4,4,4,3,3,4,4,3,3,4,4,4,3,4,3,2,3,4,4,3,3,4,4,3,4,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,3,3,4,3,2,4,4,3,3,4,3,3,4,3,3,4,4,3,2,4,4,4,2,4,4,4,3,3,4,4,4,4,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,4,2,4,3,3,4,4,3,4,4,4,3,3,4,3,3,4,4,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,4,3,4,3,4,2,2,4,3,2,2,3,4,2,4,2,4,4,3,4,4,1,4,3,4,2,3,4,4,4,4,4,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,3,3,3,2,2,3,3,2,2,4,4,4,2,4,2,3,4,4,4,4,4,4,3,3,3,4,4,4,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,2,2,1,4,2,4,3,3,1,2,4,3,3,3,4,3,3,4,4,4,2,4,4,3,3,4,3,4,4,4,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,2,2,1,2,2,4,1,4,2,1,3,2,3,2,4,4,3,4,4,3,2,4,4,3,2,3,4,4,4,4,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0
2,1,1,Kinh,4,4.5,C?n Th?,9,2,4,4,3,4,3,3,3,4,4,4,3,3,3,4,3,4,4,4,4,2,2,4,4,3,4,3,4,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,4,3,3,3,2,4,3,3,3,4,3,2,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,4,3,2,1,2,3,1,2,1,2,2,4,1,2,4,1,3,3,4,1,4,1,1,1,1,2,4,4,4,4,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2,1,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,2,4,4,2,3,4,3,2,1,2,2,2,2,3,3,3,3,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,3,3,2,2,4,3,3,3,4,2,3,4,2,3,3,4,3,4,2,2,3,1,3,4,2,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,2,2,2,2,2,3,2,2,2,3,2,3,3,1,4,4,4,3,4,4,2,3,3,3,3,3,3,3,3,4,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
2,1,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,2,2,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,2,4,3,2,2,3,3,3,3,4,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
2,2,1,Kinh,4,4.5,C?n Th?,9,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,4,4,3,2,3,2,2,2,3,3,4,3,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1
2,1,2,Kh? me,4,4.5,C?n Th?,9,2,3,3,2,3,2,2,2,3,2,4,4,2,3,3,2,4,4,3,4,3,3,3,4,3,3,4,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
